2 2
0.960112 0.498306 
0.0623493 0.262307 
2 2
0.269875 0.0886258 
0.0426344 0.135807 
2 2
0.415143 0.906339 
0.983489 0.668844 
2 2
0.837367 0.669362 
0.103305 0.588275 
2 2
0.487808 0.464858 
0.818171 0.114444 
2 2
0.384045 0.954436 
0.500046 0.560289 
2 2
0.563005 0.390179 
0.804285 0.225135 
2 2
0.149083 0.285043 
0.0334178 0.177343 
2 2
0.756523 0.0810572 
0.50734 0.0193793 
2 2
0.944212 0.659536 
0.407788 0.228889 
2 2
0.942289 0.0366832 
0.0663778 0.169866 
2 2
0.368664 0.0887173 
0.164708 0.367443 
2 2
0.15482 0.649739 
0.81521 0.14011 
2 2
0.39903 0.826594 
0.991699 0.182989 
2 2
0.366436 0.874264 
0.278329 0.196265 
2 2
0.354015 0.475509 
0.405622 0.152043 
256 1
