2 2
0.726739 0.0728231 
0.826696 0.851386 
2 2
0.995638 0.348776 
0.153481 0.981513 
2 2
0.929834 0.0030975 
0.0476656 0.845166 
2 2
0.337415 0.546403 
0.234089 0.803781 
2 2
0.682468 0.329434 
0.372784 0.413541 
2 2
0.692594 0.585645 
0.282905 0.333923 
2 2
0.624059 0.213718 
0.874324 0.14892 
2 2
0.104013 0.656025 
0.657265 0.830752 
2 2
0.728848 0.483961 
0.682138 0.724486 
2 2
0.832737 0.835619 
0.705999 0.76257 
2 2
0.838717 0.753664 
0.607737 0.176132 
2 2
0.300067 0.841826 
0.979913 0.982535 
2 2
0.17126 0.352697 
0.396076 0.863854 
2 2
0.938342 0.678981 
0.197777 0.5624 
2 2
0.892699 0.0721001 
0.71132 0.996713 
2 2
0.728125 0.368585 
0.827465 0.456973 
1024 1
